source_id,source_type,category,priority,technical_details,suggested_title
R001,app_store,Bug,Critical,"Crash on launch after update","Crash on app launch after update"
R002,app_store,Praise,Low,,"Positive feedback on focus mode"
R003,app_store,Feature Request,Medium,"Request for dark mode","Add dark mode support"
R004,app_store,Complaint,Medium,"App slow during sync","Performance issues during sync"
R005,app_store,Feature Request,Medium,"Calendar integration request","Integrate with Google Calendar"
R006,app_store,Bug,High,"Login failure after update","Login failure post update"
R007,app_store,Praise,Low,,"Positive productivity feedback"
R008,app_store,Spam,Low,,"Spam content"
E001,support_email,Bug,High,"Crash on Android 14 Samsung S22","Crash on launch - Android 14"
E002,support_email,Feature Request,Medium,"Dark mode requested","Add dark mode"
E003,support_email,Bug,High,"401 error during login","Login error 401"
E004,support_email,Feature Request,Low,"Task sharing request","Enable task sharing"
E005,support_email,Bug,Critical,"Data loss after sync on iOS","Data loss after sync"
