timestamp,ticket_id,category,status,notes
2026-01-05T09:12:07.599853,23f69b09-286c-4c33-9342-c7621d2900a7,Bug,Approved,OK
2026-01-05T09:12:07.599902,2905ebd1-b7d2-46bb-a85d-19cf86c2ad25,Praise,Approved,OK
2026-01-05T09:12:07.599933,aa841229-d373-40c1-8834-46a8836c0e76,Feature Request,Approved,OK
2026-01-05T09:12:07.599960,cfe971e2-9368-4a19-bcc0-68d95354c1ce,Complaint,Approved,OK
2026-01-05T09:12:07.599987,b69b2154-eaeb-4c3c-98c8-fcacd9e2d2d6,Feature Request,Approved,OK
2026-01-05T09:12:07.600011,aafbefbb-cb1f-460f-a269-b5f40520d228,Bug,Approved,OK
2026-01-05T09:12:07.600036,6fe8dc1b-ab75-45bc-8040-dc24296263e9,Praise,Approved,OK
2026-01-05T09:12:07.600061,eeff45d8-53ec-465b-bf89-083ce802418b,Spam,Approved,OK
2026-01-05T09:12:07.600087,2773aef0-70ae-4f27-8dd2-0330bdaf587e,Bug,Approved,OK
2026-01-05T09:12:07.600113,0e19a775-5038-443f-8194-caf14e1a7ad4,Feature Request,Approved,OK
2026-01-05T09:12:07.600138,0606d3c1-598a-4ebe-8642-9799b9740b28,Bug,Approved,OK
2026-01-05T09:12:07.600161,4db6d107-45ef-482c-8d2c-63e59dd85559,Feature Request,Approved,OK
2026-01-05T09:12:07.600187,7b19a29e-072b-4ef2-9626-3a1515878e58,Bug,Approved,OK
